,age,education,balance,day,month,duration,campaign,pdays,previous,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_nan,default_yes,housing_yes,loan_yes,subscribed_yes,contact_telephone,marital_married,marital_single,housing_and_loan
0,0.5693164828397179,3,0.6852012884273008,1,4,1.663543801055603,2,0.5668507990485301,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1,0.7787850657217625,2,0.816846292719834,1,4,0.690411014365133,2,0.5730998429742316,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
2,1.2105394320498244,2,0.9519018329910034,1,4,0.41162898990882935,2,0.8584040711263304,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
3,0.9743376397752188,2,0.688049322895923,1,4,0.7795432889455811,1,0.8560596790081391,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
4,1.1187993095880886,2,0.9405514616593464,1,4,1.1346810543600194,1,1.0061617363026978,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5,0.9518849677982633,3,0.9114092304845919,1,4,1.111074000530441,1,0.5730998429742316,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6,0.6337717781439424,2,1.2323017486547085,1,4,0.5116280228461635,2,0.8906612164389501,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
7,0.9289165717973129,2,0.687100879043238,1,4,0.7305237907720098,4,1.0496425503651583,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
8,1.1928523774125903,3,0.6479127598596909,1,4,0.39649071810332476,2,0.5793100787383486,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,0.7514160886839212,3,0.8280347917507174,1,4,1.658374918213526,3,0.5699802023221865,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.0177849595341555,0,0.5800370990395436,2,4,0.8381109892392657,1,1.0535031863734285,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
11,0.7787850657217625,2,0.738875206162118,2,4,1.294689891715617,1,0.5793100787383486,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12,0.9962972397974659,2,0.4789925230488187,2,4,0.4699894568097062,1,0.9219102717575389,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
13,0.7514160886839212,2,0.4789925230488187,2,4,1.1317604702120114,2,0.9219102717575389,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
14,0.9518849677982633,2,0.46131086325650805,2,4,0.51975165435574,1,0.9919208283551483,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
15,0.6645056045965613,0,0.762031423966777,2,4,0.18305824682245536,2,0.5824007936078992,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
16,1.1928523774125903,2,0.479576561016206,2,4,0.8952917429642194,1,0.331130449262814,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
17,0.5693164828397179,3,0.6066119929329457,2,4,0.2523544516429682,1,0.5730998429742316,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
18,0.5004187181101732,2,0.4789925230488187,2,4,0.8183003194623103,1,1.0202026850596195,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
19,1.0993962949803184,3,1.0795582139589703,2,4,1.1125658812478498,3,0.9649230303869326,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
20,0.8054248936209736,3,0.8374679824133615,2,4,1.0106439501231494,2,0.9019340220939667,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
21,1.1748468495688722,3,1.1482793695589688,2,4,0.7370555637414672,2,0.908637208851133,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
